epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,3303.26,0.5033,0.70368,0.99178,0.89416,0.002575,0.002575,0.002575
77,3336.53,0.49479,0.70242,0.99192,0.92128,0.002476,0.002476,0.002476
78,3369.44,0.47572,0.70354,0.99192,0.8877,0.002377,0.002377,0.002377
79,3402.57,0.46824,0.70368,0.99164,0.89655,0.002278,0.002278,0.002278
80,3436.06,0.45169,0.70298,0.99108,0.89566,0.002179,0.002179,0.002179
81,3469.39,0.45083,0.70298,0.99108,0.88845,0.00208,0.00208,0.00208
82,3502.45,0.44109,0.70326,0.99108,0.92005,0.001981,0.001981,0.001981
83,3536.09,0.41748,0.7034,0.99108,0.92443,0.001882,0.001882,0.001882
84,3570.19,0.42401,0.70396,0.99108,0.90713,0.001783,0.001783,0.001783
85,3604.31,0.40086,0.70493,0.99108,0.90672,0.001684,0.001684,0.001684
86,3638.17,0.39351,0.70535,0.99122,0.90957,0.001585,0.001585,0.001585
87,3671.12,0.38744,0.70535,0.99136,0.91127,0.001486,0.001486,0.001486
88,3704.54,0.37161,0.70521,0.99136,0.90967,0.001387,0.001387,0.001387
89,3737.67,0.36106,0.70479,0.9915,0.91061,0.001288,0.001288,0.001288
90,3770.9,0.35684,0.70424,0.99136,0.91954,0.001189,0.001189,0.001189
91,3809.06,0.34423,0.70354,0.99122,0.92034,0.00109,0.00109,0.00109
92,3843.79,0.33157,0.70354,0.99108,0.92972,0.000991,0.000991,0.000991
93,3877.98,0.32261,0.70396,0.99122,0.92651,0.000892,0.000892,0.000892
94,3912.16,0.31152,0.70465,0.99094,0.94707,0.000793,0.000793,0.000793
95,3946.54,0.30442,0.70479,0.9915,0.94092,0.000694,0.000694,0.000694
96,3980.43,0.2872,0.70465,0.9915,0.93637,0.000595,0.000595,0.000595
97,4014.53,0.28111,0.70465,0.99136,0.94382,0.000496,0.000496,0.000496
98,4049.2,0.27269,0.70451,0.99122,0.98384,0.000397,0.000397,0.000397
99,4082.79,0.26578,0.70451,0.99122,0.9658,0.000298,0.000298,0.000298
100,4116.8,0.2646,0.70437,0.99108,0.95415,0.000199,0.000199,0.000199
