epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,9990.73,0.89692,0.69616,0.98953,0.81316,0.0085942,0.0085942,0.0085942
73,10121.4,0.88978,0.69648,0.98938,0.82122,0.0085744,0.0085744,0.0085744
74,10255.2,0.88359,0.69743,0.98953,0.81588,0.0085546,0.0085546,0.0085546
75,10388.5,0.89266,0.69711,0.98953,0.81462,0.0085348,0.0085348,0.0085348
76,10520.7,0.88274,0.69743,0.98985,0.81187,0.008515,0.008515,0.008515
77,10656.4,0.8849,0.69838,0.98985,0.81168,0.0084952,0.0084952,0.0084952
78,10784.8,0.87145,0.69949,0.99001,0.81547,0.0084754,0.0084754,0.0084754
79,10922.8,0.87336,0.69886,0.99017,0.81003,0.0084556,0.0084556,0.0084556
80,11057.1,0.85455,0.70076,0.99017,0.80928,0.0084358,0.0084358,0.0084358
81,11187.3,0.86154,0.70219,0.99033,0.80838,0.008416,0.008416,0.008416
82,11323.9,0.86336,0.70266,0.99033,0.80604,0.0083962,0.0083962,0.0083962
83,11457.4,0.85927,0.70266,0.99001,0.80461,0.0083764,0.0083764,0.0083764
84,11588.4,0.84779,0.70219,0.98969,0.80519,0.0083566,0.0083566,0.0083566
85,11721.9,0.83838,0.70266,0.98985,0.8081,0.0083368,0.0083368,0.0083368
86,11854.1,0.83986,0.70346,0.98953,0.81125,0.008317,0.008317,0.008317
87,11991,0.83731,0.70409,0.98953,0.80305,0.0082972,0.0082972,0.0082972
88,12123.7,0.83904,0.70457,0.98953,0.79963,0.0082774,0.0082774,0.0082774
89,12257.6,0.829,0.70488,0.98953,0.80143,0.0082576,0.0082576,0.0082576
90,12388.8,0.82366,0.70584,0.98953,0.80915,0.0082378,0.0082378,0.0082378
91,12523.3,0.8107,0.70584,0.98969,0.80349,0.008218,0.008218,0.008218
92,12657.6,0.80963,0.70663,0.98969,0.79957,0.0081982,0.0081982,0.0081982
93,12791.1,0.81608,0.70599,0.98938,0.7997,0.0081784,0.0081784,0.0081784
94,12923.8,0.8068,0.70631,0.98922,0.80159,0.0081586,0.0081586,0.0081586
